what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495534028368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495534032019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495534055997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495534057963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1495534059850
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1495534064437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1495534075731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495534077634
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495534097931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495534105685
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1495534116340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1495534116340
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1495534116355
